0:0.0
1:0.0
2:0.0
3:0.0
4:0.0
5:0.0
6:0.0
7:0.0
8:0.0
9:0.0
10:0.0
11:0.0
12:0.0
13:0.0
14:0.0
15:0.0
16:0.0
17:0.0
18:0.0
19:0.0
20:0.0
21:0.0
22:0.0
23:0.0
24:0.0
25:0.0
26:0.0
27:0.0
28:0.0
29:0.0
30:0.0
31:0.0
32:0.0
33:0.0
34:0.0
35:0.0
36:0.0
37:0.0
38:0.0
39:0.0
40:0.0
41:0.0
42:0.0
43:0.0
44:0.0
45:0.0
46:0.0
47:0.0
48:0.0
49:0.0
50:0.0
51:0.0
52:0.0
53:0.0
54:0.0
55:0.0
56:0.0
57:0.0
58:0.0
59:0.0
60:0.0
61:0.0
62:0.0
63:0.0
64:0.0
65:0.0
66:0.0
67:0.0
68:0.0
69:0.0
70:0.0
71:0.0
72:0.0
73:0.0
74:0.08628127696289906
75:0.0
76:0.0
77:0.08628127696289906
78:0.08628127696289906
79:0.0
80:0.08628127696289906
81:0.3451251078515962
82:0.25884383088869717
83:0.08628127696289906
84:0.08628127696289906
85:0.5176876617773943
86:0.4314063848144953
87:0.7765314926660914
88:1.4667817083692838
89:2.1570319240724762
90:3.364969801553063
91:4.400345125107852
92:7.333908541846419
93:11.993097497842967
94:20.793787748058673
95:19.24072476272649
96:13.63244176013805
97:6.988783433994823
98:3.278688524590164
99:1.639344262295082
100:0.5176876617773943
101:0.25884383088869717
102:0.08628127696289906
103:0.0
104:0.0
105:0.0
106:0.0
107:0.0
108:0.0
109:0.0
