0:0.08613264427217916
1:0.0
2:0.0
3:0.0
4:0.0
5:0.0
6:0.0
7:0.0
8:0.0
9:0.08613264427217916
10:0.0
11:0.0
12:0.0
13:0.0
14:0.0
15:0.0
16:0.0
17:0.0
18:0.0
19:0.08613264427217916
20:0.0
21:0.0
22:0.0
23:0.0
24:0.0
25:0.0
26:0.0
27:0.0
28:0.08613264427217916
29:0.0
30:0.0
31:0.0
32:0.0
33:0.0
34:0.0
35:0.0
36:0.0
37:0.08613264427217916
38:0.0
39:0.0
40:0.0
41:0.0
42:0.0
43:0.0
44:0.0
45:0.0
46:0.0
47:0.08613264427217916
48:0.0
49:0.0
50:0.0
51:0.0
52:0.0
53:0.0
54:0.0
55:0.0
56:0.08613264427217916
57:0.0
58:0.0
59:0.0
60:0.0
61:0.0
62:0.0
63:0.0
64:0.0
65:0.0
66:0.08613264427217916
67:0.0
68:0.0
69:0.0
70:0.0
71:0.0
72:0.0
73:0.0
74:0.0
75:0.08613264427217916
76:0.0
77:0.0
78:0.0
79:0.0
80:0.17226528854435832
81:0.0
82:0.08613264427217916
83:0.34453057708871665
84:0.4306632213608958
85:0.7751937984496124
86:1.0335917312661498
87:0.4306632213608958
88:1.4642549526270456
89:1.636520241171404
90:3.273040482342808
91:5.0818260120585705
92:7.665805340223945
93:10.938845822566753
94:23.51421188630491
95:15.934539190353144
96:11.627906976744185
97:7.493540051679586
98:3.4453057708871664
99:2.3255813953488373
100:1.119724375538329
101:0.08613264427217916
102:0.34453057708871665
103:0.0
104:0.0
105:0.0
106:0.0
107:0.0
108:0.0
109:0.0
