0:0.0
1:0.0
2:0.0
3:0.0
4:0.0
5:0.0
6:0.0
7:0.0
8:0.0
9:0.0
10:0.0
11:0.0
12:0.0
13:0.0
14:0.0
15:0.0
16:0.0
17:0.0
18:0.0
19:0.0
20:0.0
21:0.0
22:0.0
23:0.0
24:2.5305410122164047
25:19.895287958115183
26:14.048865619546248
27:60.645724258289704
28:2.8795811518324608
29:0.0
30:0.0
mean_speed:26.414485165794066
